Assumption,Monitoring Tool,Economy,Workstream,Level,Date,Signal,Status,Confidence Index 1 (Percent),Confidence Index 2 (Count),Notes
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,recIze3I0sDtjtxap,Economy,2025-08-08,Thailand attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,recIze3I0sDtjtxap,Economy,2025-08-08,The Philippines attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,recIze3I0sDtjtxap,Economy,2025-08-08,United States of America attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),recO6Wye9q46CaYxb,Workstream,2025-07-30,Average 7.3 economies represented (last 5 recO6Wye9q46CaYxb workshops/dialogues),baseline,34.9,7,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,recO6Wye9q46CaYxb,Economy,2025-07-28,Australia attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,recO6Wye9q46CaYxb,Economy,2025-07-28,Canada attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,recO6Wye9q46CaYxb,Economy,2025-07-30,Chinese Taipei attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,recO6Wye9q46CaYxb,Economy,2025-07-27,Indonesia attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,recO6Wye9q46CaYxb,Economy,2025-07-28,Malaysia attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,New Zealand,recO6Wye9q46CaYxb,Economy,2025-07-27,New Zealand attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,recO6Wye9q46CaYxb,Economy,2025-07-28,Other attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,recO6Wye9q46CaYxb,Economy,2025-07-27,Papua New Guinea attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,People's Republic of China,recO6Wye9q46CaYxb,Economy,2025-07-28,People's Republic of China attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,recO6Wye9q46CaYxb,Economy,2025-07-27,Republic of Korea attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Singapore,recO6Wye9q46CaYxb,Economy,2025-07-27,Singapore attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,recO6Wye9q46CaYxb,Economy,2025-07-30,Thailand attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,recO6Wye9q46CaYxb,Economy,2025-07-27,The Philippines attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,recO6Wye9q46CaYxb,Economy,2025-07-30,United States of America attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Viet Nam,recO6Wye9q46CaYxb,Economy,2025-07-27,Viet Nam attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),rechVe1cRPyWq4y4i,Workstream,2026-06-30,Average 11.5 economies represented (last 5 rechVe1cRPyWq4y4i workshops/dialogues),baseline,54.8,12,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,rechVe1cRPyWq4y4i,Economy,2026-06-30,Canada attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,rechVe1cRPyWq4y4i,Economy,2026-06-30,Chile attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,rechVe1cRPyWq4y4i,Economy,2026-06-30,Indonesia attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Japan,rechVe1cRPyWq4y4i,Economy,2026-06-30,Japan attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,rechVe1cRPyWq4y4i,Economy,2026-06-30,Malaysia attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Mexico,rechVe1cRPyWq4y4i,Economy,2026-06-30,Mexico attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,rechVe1cRPyWq4y4i,Economy,2026-06-29,Other attended 1/5 rechVe1cRPyWq4y4i workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,rechVe1cRPyWq4y4i,Economy,2026-06-30,Papua New Guinea attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Singapore,rechVe1cRPyWq4y4i,Economy,2026-06-30,Singapore attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,rechVe1cRPyWq4y4i,Economy,2026-06-30,Thailand attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,rechVe1cRPyWq4y4i,Economy,2026-06-30,United States of America attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Viet Nam,rechVe1cRPyWq4y4i,Economy,2026-06-30,Viet Nam attended 2/5 rechVe1cRPyWq4y4i workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),reckuD4pDTWtZesJN,Workstream,2025-08-02,Average 11.0 economies represented (last 5 reckuD4pDTWtZesJN workshops/dialogues),baseline,52.4,11,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,reckuD4pDTWtZesJN,Economy,2025-08-02,Chile attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,reckuD4pDTWtZesJN,Economy,2025-08-02,Chinese Taipei attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,"Hong Kong, China",reckuD4pDTWtZesJN,Economy,2025-08-02,"Hong Kong, China attended 1/5 reckuD4pDTWtZesJN workshops/dialogues",pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,reckuD4pDTWtZesJN,Economy,2025-08-02,Indonesia attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Japan,reckuD4pDTWtZesJN,Economy,2025-08-02,Japan attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,reckuD4pDTWtZesJN,Economy,2025-08-02,Other attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,reckuD4pDTWtZesJN,Economy,2025-08-02,Papua New Guinea attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Peru,reckuD4pDTWtZesJN,Economy,2025-08-02,Peru attended 1/5 reckuD4pDTWtZesJN workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,reckuD4pDTWtZesJN,Economy,2025-08-02,Thailand attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,reckuD4pDTWtZesJN,Economy,2025-08-02,The Philippines attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,reckuD4pDTWtZesJN,Economy,2025-08-02,United States of America attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Viet Nam,reckuD4pDTWtZesJN,Economy,2025-08-02,Viet Nam attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),recqvqMEpTfZTKevx,Workstream,2025-07-29,Average 14.0 economies represented (last 5 recqvqMEpTfZTKevx workshops/dialogues),optimistic,66.7,14,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,recqvqMEpTfZTKevx,Economy,2025-07-28,Australia attended 1/5 recqvqMEpTfZTKevx workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,recqvqMEpTfZTKevx,Economy,2025-07-28,Canada attended 1/5 recqvqMEpTfZTKevx workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,recqvqMEpTfZTKevx,Economy,2025-07-29,Chile attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,recqvqMEpTfZTKevx,Economy,2025-07-29,Indonesia attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,recqvqMEpTfZTKevx,Economy,2025-07-29,Malaysia attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Mexico,recqvqMEpTfZTKevx,Economy,2025-07-29,Mexico attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,recqvqMEpTfZTKevx,Economy,2025-07-29,Other attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,People's Republic of China,recqvqMEpTfZTKevx,Economy,2025-07-29,People's Republic of China attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Peru,recqvqMEpTfZTKevx,Economy,2025-07-29,Peru attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,recqvqMEpTfZTKevx,Economy,2025-07-29,Republic of Korea attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Singapore,recqvqMEpTfZTKevx,Economy,2025-07-29,Singapore attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,recqvqMEpTfZTKevx,Economy,2025-07-29,Thailand attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,recqvqMEpTfZTKevx,Economy,2025-07-29,The Philippines attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,recqvqMEpTfZTKevx,Economy,2025-07-29,United States of America attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Viet Nam,recqvqMEpTfZTKevx,Economy,2025-07-29,Viet Nam attended 2/5 recqvqMEpTfZTKevx workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),recx8jdfEcebA5nAS,Workstream,2025-08-09,Average 11.0 economies represented (last 5 recx8jdfEcebA5nAS workshops/dialogues),baseline,52.4,11,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,recx8jdfEcebA5nAS,Economy,2025-08-09,Australia attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,recx8jdfEcebA5nAS,Economy,2025-08-09,Canada attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,recx8jdfEcebA5nAS,Economy,2025-08-09,Chile attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,recx8jdfEcebA5nAS,Economy,2025-08-09,Indonesia attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,New Zealand,recx8jdfEcebA5nAS,Economy,2025-08-09,New Zealand attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,recx8jdfEcebA5nAS,Economy,2025-08-09,Other attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,recx8jdfEcebA5nAS,Economy,2025-08-09,Papua New Guinea attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Peru,recx8jdfEcebA5nAS,Economy,2025-08-09,Peru attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,recx8jdfEcebA5nAS,Economy,2025-08-09,Thailand attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,recx8jdfEcebA5nAS,Economy,2025-08-09,The Philippines attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,recx8jdfEcebA5nAS,Economy,2025-08-09,United States of America attended 1/5 recx8jdfEcebA5nAS workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
